"","variable","variable","value"
"1","BBcyanobacteria","value",2889.89
"2","BBcyanobacteria","value",2980.39
"3","BBcyanobacteria","value",2863.93
"4","BBcyanobacteria","value",2666.94
"5","BBcyanobacteria","value",2875.55
"6","BBcyanobacteria","value",2566.78
"7","BBcyanobacteria","value",2694.09
"8","BBcyanobacteria","value",2804.73
"9","BBcyanobacteria","value",2648.25
"10","BBcyanobacteria","value",3003.34
"11","BBcyanobacteria","value",2652.87
"12","BBcyanobacteria","value",2724.22
"13","BBcyanobacteria","value",2689.21
"14","BBcyanobacteria","value",2656.23
"15","BBcyanobacteria","value",2997.18
"16","BBcyanobacteria","value",2982.31
"17","BBcyanobacteria","value",2808.96
"18","BBcyanobacteria","value",2909.42
"19","BBcyanobacteria","value",3033.83
"20","BBcyanobacteria","value",2933.02
"21","BBcyanobacteria","value",3022.96
"22","BBcyanobacteria","value",2606.33
"23","BBcyanobacteria","value",2958.29
"24","BBcyanobacteria","value",2712.78
"25","BBcyanobacteria","value",2806.96
"26","BBcyanobacteria","value",3101.74
"27","BBcyanobacteria","value",2844.32
"28","BBcyanobacteria","value",2699.07
"29","BBcyanobacteria","value",2854.24
"30","BBcyanobacteria","value",2867.28
"31","BBcyanobacteria","value",3033.16
"32","BBcyanobacteria","value",3082.54
"33","BBcyanobacteria","value",2841.19
"34","BBcyanobacteria","value",2699.61
"35","BBcyanobacteria","value",2915.46
"36","BBcyanobacteria","value",2838.02
"37","BBcyanobacteria","value",2567
"38","BBcyanobacteria","value",2693.51
"39","BBcyanobacteria","value",2832.25
"40","BBcyanobacteria","value",2775.04
"41","BBcyanobacteria","value",3108.2
"42","BBcyanobacteria","value",2749.07
"43","BBcyanobacteria","value",2723.56
"44","BBcyanobacteria","value",3104.54
"45","BBcyanobacteria","value",2967.95
"46","BBcyanobacteria","value",3067.8
"47","BBcyanobacteria","value",2603.08
"48","BBcyanobacteria","value",3322.31
"49","BBcyanobacteria","value",3048.18
"50","BBcyanobacteria","value",2785.8
"51","BBcyanobacteria","value",3414.16
"52","BBcyanobacteria","value",2661.02
"53","BBcyanobacteria","value",2777.23
"54","BBcyanobacteria","value",2665.02
"55","BBcyanobacteria","value",2773.08
"56","BBcyanobacteria","value",2989.4
"57","BBcyanobacteria","value",2902.68
"58","BBcyanobacteria","value",2744.82
"59","BBcyanobacteria","value",3163.32
"60","BBcyanobacteria","value",3371.78
"61","BBcyanobacteria","value",2800.32
"62","BBcyanobacteria","value",2880.17
"63","BBcyanobacteria","value",2705.31
"64","BBcyanobacteria","value",2816.17
"65","BBcyanobacteria","value",2951.42
"66","BBcyanobacteria","value",3041.84
"67","BBcyanobacteria","value",2745.43
"68","BBcyanobacteria","value",2811.6
"69","BBcyanobacteria","value",3037.15
"70","BBcyanobacteria","value",2707.54
"71","BBcyanobacteria","value",2931.17
"72","BBcyanobacteria","value",2803.39
"73","BBcyanobacteria","value",2786.04
"74","BBcyanobacteria","value",2894.9
"75","BBcyanobacteria","value",3130.66
"76","BBcyanobacteria","value",2843.84
"77","BBcyanobacteria","value",2826.45
"78","BBcyanobacteria","value",3006.32
"79","BBcyanobacteria","value",2937.8
"80","BBcyanobacteria","value",2854.67
"81","BBcyanobacteria","value",2642.71
"82","BBcyanobacteria","value",2684.63
"83","BBcyanobacteria","value",2630.42
"84","BBcyanobacteria","value",3334.76
"85","BBcyanobacteria","value",2610.85
"86","BBcyanobacteria","value",2793.67
"87","BBcyanobacteria","value",2912.19
"88","BBcyanobacteria","value",2827.92
"89","BBcyanobacteria","value",3024.01
"90","BBcyanobacteria","value",2800.64
"91","BBcyanobacteria","value",2990.68
"92","BBcyanobacteria","value",2816.09
"93","BBcyanobacteria","value",2916.39
"94","BBcyanobacteria","value",2886.84
"95","BBcyanobacteria","value",3010.2
"96","BBcyanobacteria","value",2492.92
"97","BBcyanobacteria","value",3176.13
"98","BBcyanobacteria","value",3019.88
"99","BBcyanobacteria","value",2885.58
"100","BBcyanobacteria","value",3197.21
"101","BBchlorobiales","value",1659.16
"102","BBchlorobiales","value",1654.13
"103","BBchlorobiales","value",1649.4
"104","BBchlorobiales","value",1807.79
"105","BBchlorobiales","value",1694.18
"106","BBchlorobiales","value",2100.88
"107","BBchlorobiales","value",1676.38
"108","BBchlorobiales","value",1673.62
"109","BBchlorobiales","value",1740.13
"110","BBchlorobiales","value",1677.09
"111","BBchlorobiales","value",1826.36
"112","BBchlorobiales","value",1910.26
"113","BBchlorobiales","value",1701.77
"114","BBchlorobiales","value",1684.42
"115","BBchlorobiales","value",1857.15
"116","BBchlorobiales","value",1787.49
"117","BBchlorobiales","value",1778.24
"118","BBchlorobiales","value",1669.72
"119","BBchlorobiales","value",1923.53
"120","BBchlorobiales","value",1651.15
"121","BBchlorobiales","value",1725.03
"122","BBchlorobiales","value",1802.97
"123","BBchlorobiales","value",1770.46
"124","BBchlorobiales","value",1645.96
"125","BBchlorobiales","value",1748.2
"126","BBchlorobiales","value",1703.7
"127","BBchlorobiales","value",1871.63
"128","BBchlorobiales","value",1897.68
"129","BBchlorobiales","value",1686.48
"130","BBchlorobiales","value",1868.45
"131","BBchlorobiales","value",1759.6
"132","BBchlorobiales","value",1681.47
"133","BBchlorobiales","value",1791.94
"134","BBchlorobiales","value",1810.76
"135","BBchlorobiales","value",1717.02
"136","BBchlorobiales","value",2095.42
"137","BBchlorobiales","value",1668.39
"138","BBchlorobiales","value",1737.68
"139","BBchlorobiales","value",1734.12
"140","BBchlorobiales","value",1824.17
"141","BBchlorobiales","value",1997.86
"142","BBchlorobiales","value",2030
"143","BBchlorobiales","value",1705.07
"144","BBchlorobiales","value",1945.26
"145","BBchlorobiales","value",1643.43
"146","BBchlorobiales","value",1678.07
"147","BBchlorobiales","value",1711.85
"148","BBchlorobiales","value",1793.98
"149","BBchlorobiales","value",1762.99
"150","BBchlorobiales","value",1647.61
"151","BBchlorobiales","value",1702.7
"152","BBchlorobiales","value",1685.87
"153","BBchlorobiales","value",1675.25
"154","BBchlorobiales","value",2356.09
"155","BBchlorobiales","value",1846.57
"156","BBchlorobiales","value",1691.99
"157","BBchlorobiales","value",1676.4
"158","BBchlorobiales","value",1692.46
"159","BBchlorobiales","value",1706.06
"160","BBchlorobiales","value",1718.18
"161","BBchlorobiales","value",1711.43
"162","BBchlorobiales","value",1644.21
"163","BBchlorobiales","value",1665.15
"164","BBchlorobiales","value",1733.4
"165","BBchlorobiales","value",1696.6
"166","BBchlorobiales","value",1765.8
"167","BBchlorobiales","value",1657.43
"168","BBchlorobiales","value",1718.09
"169","BBchlorobiales","value",1713.07
"170","BBchlorobiales","value",1716.44
"171","BBchlorobiales","value",1688.7
"172","BBchlorobiales","value",1862.57
"173","BBchlorobiales","value",1665.3
"174","BBchlorobiales","value",1685.93
"175","BBchlorobiales","value",1844.75
"176","BBchlorobiales","value",1731.49
"177","BBchlorobiales","value",1785.12
"178","BBchlorobiales","value",1661.2
"179","BBchlorobiales","value",1668.17
"180","BBchlorobiales","value",1724.57
"181","BBchlorobiales","value",1653.92
"182","BBchlorobiales","value",1684.82
"183","BBchlorobiales","value",2127.17
"184","BBchlorobiales","value",2022.56
"185","BBchlorobiales","value",1735.79
"186","BBchlorobiales","value",1798.96
"187","BBchlorobiales","value",1648.2
"188","BBchlorobiales","value",1687.15
"189","BBchlorobiales","value",1666.03
"190","BBchlorobiales","value",1729.36
"191","BBchlorobiales","value",1693.53
"192","BBchlorobiales","value",1716.19
"193","BBchlorobiales","value",1850.45
"194","BBchlorobiales","value",1864.46
"195","BBchlorobiales","value",1747.44
"196","BBchlorobiales","value",1760.54
"197","BBchlorobiales","value",2186.47
"198","BBchlorobiales","value",1663.36
"199","BBchlorobiales","value",1772.49
"200","BBchlorobiales","value",1768.67
"201","BBchloroflexia","value",853.7
"202","BBchloroflexia","value",1148.55
"203","BBchloroflexia","value",681.714
"204","BBchloroflexia","value",851.529
"205","BBchloroflexia","value",503.055
"206","BBchloroflexia","value",557.42
"207","BBchloroflexia","value",675.598
"208","BBchloroflexia","value",733.548
"209","BBchloroflexia","value",547.581
"210","BBchloroflexia","value",608.659
"211","BBchloroflexia","value",1241.05
"212","BBchloroflexia","value",661.41
"213","BBchloroflexia","value",794.587
"214","BBchloroflexia","value",1070.12
"215","BBchloroflexia","value",838.866
"216","BBchloroflexia","value",754.848
"217","BBchloroflexia","value",828.352
"218","BBchloroflexia","value",957.864
"219","BBchloroflexia","value",1024.69
"220","BBchloroflexia","value",1389.73
"221","BBchloroflexia","value",1006.83
"222","BBchloroflexia","value",559.618
"223","BBchloroflexia","value",552.179
"224","BBchloroflexia","value",640.824
"225","BBchloroflexia","value",563.044
"226","BBchloroflexia","value",1237.25
"227","BBchloroflexia","value",881.564
"228","BBchloroflexia","value",620.6
"229","BBchloroflexia","value",446.959
"230","BBchloroflexia","value",878.541
"231","BBchloroflexia","value",527.838
"232","BBchloroflexia","value",553.012
"233","BBchloroflexia","value",616.628
"234","BBchloroflexia","value",817.331
"235","BBchloroflexia","value",1070.23
"236","BBchloroflexia","value",697.384
"237","BBchloroflexia","value",537.009
"238","BBchloroflexia","value",798.501
"239","BBchloroflexia","value",619.618
"240","BBchloroflexia","value",842.39
"241","BBchloroflexia","value",576.992
"242","BBchloroflexia","value",787.758
"243","BBchloroflexia","value",801.869
"244","BBchloroflexia","value",665.758
"245","BBchloroflexia","value",979.193
"246","BBchloroflexia","value",1533.79
"247","BBchloroflexia","value",977.739
"248","BBchloroflexia","value",620.304
"249","BBchloroflexia","value",570.714
"250","BBchloroflexia","value",985.175
"251","BBchloroflexia","value",1163
"252","BBchloroflexia","value",651.659
"253","BBchloroflexia","value",452.137
"254","BBchloroflexia","value",988.213
"255","BBchloroflexia","value",716.988
"256","BBchloroflexia","value",478.161
"257","BBchloroflexia","value",869.232
"258","BBchloroflexia","value",854.207
"259","BBchloroflexia","value",690.484
"260","BBchloroflexia","value",932.839
"261","BBchloroflexia","value",716.021
"262","BBchloroflexia","value",501.391
"263","BBchloroflexia","value",754.399
"264","BBchloroflexia","value",549.161
"265","BBchloroflexia","value",716.383
"266","BBchloroflexia","value",1069.39
"267","BBchloroflexia","value",753.364
"268","BBchloroflexia","value",913.664
"269","BBchloroflexia","value",558.19
"270","BBchloroflexia","value",1052.8
"271","BBchloroflexia","value",766.594
"272","BBchloroflexia","value",432.437
"273","BBchloroflexia","value",573.866
"274","BBchloroflexia","value",701.806
"275","BBchloroflexia","value",553.624
"276","BBchloroflexia","value",879.548
"277","BBchloroflexia","value",708.299
"278","BBchloroflexia","value",621.623
"279","BBchloroflexia","value",998.981
"280","BBchloroflexia","value",1137.94
"281","BBchloroflexia","value",590.991
"282","BBchloroflexia","value",826.073
"283","BBchloroflexia","value",1033.57
"284","BBchloroflexia","value",662.806
"285","BBchloroflexia","value",978.423
"286","BBchloroflexia","value",637.073
"287","BBchloroflexia","value",937.556
"288","BBchloroflexia","value",919.503
"289","BBchloroflexia","value",671.146
"290","BBchloroflexia","value",438.944
"291","BBchloroflexia","value",637.728
"292","BBchloroflexia","value",766.718
"293","BBchloroflexia","value",766.371
"294","BBchloroflexia","value",664.289
"295","BBchloroflexia","value",1039.71
"296","BBchloroflexia","value",840.586
"297","BBchloroflexia","value",730.932
"298","BBchloroflexia","value",854.067
"299","BBchloroflexia","value",1087.45
"300","BBchloroflexia","value",588.668
