"","x"
"1",1647.12
"2",1692.51
"3",1668.37
"4",1702.69
"5",1645.76
"6",1689.74
"7",1673.67
"8",1649.06
"9",1732.03
"10",1670.79
"11",1702.8
"12",1643.23
"13",1661.3
"14",1658.68
"15",1722.1
"16",1704.97
"17",1648.84
"18",1649.2
"19",1668
"20",1684.63
"21",1654.82
"22",1659.68
"23",1649.71
"24",1667.04
"25",1678.01
"26",1647.78
"27",1669.89
"28",1644.54
"29",1652.72
"30",1653.58
"31",1685.74
"32",1668.21
"33",1658.85
"34",1641.4
"35",1642.63
"36",1647.71
"37",1674.68
"38",1655.96
"39",1674.15
"40",1710.24
"41",1657.72
"42",1646.42
"43",1704.34
"44",1685.69
"45",1648.07
"46",1651.47
"47",1653.27
"48",1675.42
"49",1653.09
"50",1656.02
"51",1652.84
"52",1641.4
"53",1644.48
"54",1652.64
"55",1650.95
"56",1677.63
"57",1673.99
"58",1689.2
"59",1682.41
"60",1705.67
"61",1672.29
"62",1650.05
"63",1674.95
"64",1667.33
"65",1646.66
"66",1665
"67",1654.59
"68",1679.33
"69",1652.26
"70",1640.52
"71",1663.26
"72",1645.45
"73",1645.74
"74",1714.86
"75",1652.46
"76",1703.87
"77",1767.32
"78",1655.55
"79",1741.43
"80",1649.27
"81",1771.04
"82",1662.26
"83",1658.89
"84",1670.9
"85",1683.83
"86",1649.49
"87",1655.25
"88",1646.94
"89",1666.7
"90",1665.15
"91",1645.01
"92",1647.98
"93",1644.89
"94",1648.36
"95",1690.73
"96",1659.92
"97",1709.25
"98",1718.67
"99",1669.01
