"","x"
"1",2015.36
"2",2199.51
"3",1987.97
"4",2148.44
"5",2048.18
"6",2218.43
"7",1978.3
"8",1839.25
"9",1947.92
"10",1490.5
"11",2000.06
"12",2096.96
"13",1760.4
"14",1413.22
"15",1933.81
"16",2164.29
"17",1754.56
"18",2201.22
"19",2122.67
"20",2082.66
"21",1694.74
"22",2156.88
"23",2109.15
"24",2198.66
"25",1792.68
"26",2059.69
"27",1572.88
"28",1639.48
"29",2011.32
"30",2211.05
"31",2051.46
"32",2300.76
"33",2030.91
"34",1786.03
"35",2158.04
"36",1690.01
"37",1684.53
"38",2143.96
"39",2258.17
"40",1855.61
"41",2320.97
"42",1903.39
"43",2290.18
"44",2004.48
"45",1179.37
"46",1739.1
"47",2089.87
"48",2518.02
"49",1972.44
"50",2035.59
"51",2095.37
"52",1681.54
"53",2051.6
"54",2189.92
"55",2070.53
"56",1890.23
"57",1989.39
"58",1672.1
"59",1522.1
"60",2087.03
"61",1777.14
"62",1757.39
"63",1983.91
"64",2049.75
"65",2421.89
"66",1779.59
"67",1564.76
"68",2386.79
"69",1595.14
"70",1989.03
"71",1916.3
"72",2158.9
"73",2193.99
"74",1909.39
"75",2212.54
"76",2097.8
"77",2305.86
"78",2122.87
"79",1764.4
"80",2215.08
"81",1979.62
"82",2079.11
"83",1953.32
"84",1969.71
"85",2128.25
"86",1814.95
"87",2123.37
"88",2225.41
"89",2020.07
"90",2140.36
"91",1914.25
"92",1661.32
"93",2286.87
"94",2348.38
"95",1972.8
"96",1245.4
"97",1906.52
"98",1070.16
"99",1991.1
