"","x"
"1",2680.12
"2",2702.67
"3",2687.85
"4",2662.13
"5",2706.97
"6",2717.43
"7",2753.35
"8",2845.45
"9",2699.7
"10",2831.06
"11",2774.48
"12",2751.48
"13",2737.75
"14",2772.38
"15",2710.2
"16",2864.52
"17",2757.58
"18",2736.92
"19",2784.64
"20",2869.58
"21",2907.89
"22",2867.41
"23",2923.5
"24",2768.72
"25",2807.81
"26",2906.37
"27",2807.37
"28",2797.51
"29",2758.38
"30",2767.94
"31",2756.47
"32",2840.02
"33",2684.07
"34",2738.21
"35",2772.04
"36",2806.08
"37",2819.06
"38",2667.19
"39",2934.59
"40",2977.85
"41",2903.91
"42",2867.87
"43",2948.32
"44",2806.18
"45",2873.91
"46",2737.54
"47",2979.24
"48",2992.95
"49",2875.16
"50",2819.05
"51",2940.28
"52",3025.4
"53",2945.16
"54",3091.75
"55",2937.33
"56",2815.47
"57",2867.91
"58",2900.86
"59",2895.29
"60",2927.03
"61",2877.04
"62",2916.93
"63",2913.29
"64",2979.02
"65",2964.87
"66",2735.19
"67",2822.41
"68",2818.48
"69",2831.26
"70",2930.55
"71",2857.96
"72",2914.55
"73",2995.95
"74",2851.6
"75",2980.13
"76",2886.39
"77",2962.55
"78",2948.4
"79",3034.13
"80",3091.91
"81",3046.53
"82",3029.87
"83",2891.17
"84",2871.02
"85",2805.47
"86",2988.22
"87",2830.38
"88",3049.63
"89",3124.66
"90",3002.11
"91",2847.43
"92",2951.93
"93",3085.57
"94",2892.36
"95",3113.92
"96",3095.69
"97",2933.39
"98",2852.51
"99",2700.3
