"","x"
"1",1659.16
"2",1654.13
"3",1649.4
"4",1807.79
"5",1694.18
"6",2100.88
"7",1676.38
"8",1673.62
"9",1740.13
"10",1677.09
"11",1826.36
"12",1910.26
"13",1701.77
"14",1684.42
"15",1857.15
"16",1787.49
"17",1778.24
"18",1669.72
"19",1923.53
"20",1651.15
"21",1725.03
"22",1802.97
"23",1770.46
"24",1645.96
"25",1748.2
"26",1703.7
"27",1871.63
"28",1897.68
"29",1686.48
"30",1868.45
"31",1759.6
"32",1681.47
"33",1791.94
"34",1810.76
"35",1717.02
"36",2095.42
"37",1668.39
"38",1737.68
"39",1734.12
"40",1824.17
"41",1997.86
"42",2030
"43",1705.07
"44",1945.26
"45",1643.43
"46",1678.07
"47",1711.85
"48",1793.98
"49",1762.99
"50",1647.61
"51",1702.7
"52",1685.87
"53",1675.25
"54",2356.09
"55",1846.57
"56",1691.99
"57",1676.4
"58",1692.46
"59",1706.06
"60",1718.18
"61",1711.43
"62",1644.21
"63",1665.15
"64",1733.4
"65",1696.6
"66",1765.8
"67",1657.43
"68",1718.09
"69",1713.07
"70",1716.44
"71",1688.7
"72",1862.57
"73",1665.3
"74",1685.93
"75",1844.75
"76",1731.49
"77",1785.12
"78",1661.2
"79",1668.17
"80",1724.57
"81",1653.92
"82",1684.82
"83",2127.17
"84",2022.56
"85",1735.79
"86",1798.96
"87",1648.2
"88",1687.15
"89",1666.03
"90",1729.36
"91",1693.53
"92",1716.19
"93",1850.45
"94",1864.46
"95",1747.44
"96",1760.54
"97",2186.47
"98",1663.36
"99",1772.49
"100",1768.67
