"","x"
"1",2889.89
"2",2980.39
"3",2863.93
"4",2666.94
"5",2875.55
"6",2566.78
"7",2694.09
"8",2804.73
"9",2648.25
"10",3003.34
"11",2652.87
"12",2724.22
"13",2689.21
"14",2656.23
"15",2997.18
"16",2982.31
"17",2808.96
"18",2909.42
"19",3033.83
"20",2933.02
"21",3022.96
"22",2606.33
"23",2958.29
"24",2712.78
"25",2806.96
"26",3101.74
"27",2844.32
"28",2699.07
"29",2854.24
"30",2867.28
"31",3033.16
"32",3082.54
"33",2841.19
"34",2699.61
"35",2915.46
"36",2838.02
"37",2567
"38",2693.51
"39",2832.25
"40",2775.04
"41",3108.2
"42",2749.07
"43",2723.56
"44",3104.54
"45",2967.95
"46",3067.8
"47",2603.08
"48",3322.31
"49",3048.18
"50",2785.8
"51",3414.16
"52",2661.02
"53",2777.23
"54",2665.02
"55",2773.08
"56",2989.4
"57",2902.68
"58",2744.82
"59",3163.32
"60",3371.78
"61",2800.32
"62",2880.17
"63",2705.31
"64",2816.17
"65",2951.42
"66",3041.84
"67",2745.43
"68",2811.6
"69",3037.15
"70",2707.54
"71",2931.17
"72",2803.39
"73",2786.04
"74",2894.9
"75",3130.66
"76",2843.84
"77",2826.45
"78",3006.32
"79",2937.8
"80",2854.67
"81",2642.71
"82",2684.63
"83",2630.42
"84",3334.76
"85",2610.85
"86",2793.67
"87",2912.19
"88",2827.92
"89",3024.01
"90",2800.64
"91",2990.68
"92",2816.09
"93",2916.39
"94",2886.84
"95",3010.2
"96",2492.92
"97",3176.13
"98",3019.88
"99",2885.58
"100",3197.21
