"","variable","variable","value"
"1","Cyanobacteria","value",2889.89
"2","Cyanobacteria","value",2980.39
"3","Cyanobacteria","value",2863.93
"4","Cyanobacteria","value",2666.94
"5","Cyanobacteria","value",2875.55
"6","Cyanobacteria","value",2566.78
"7","Cyanobacteria","value",2694.09
"8","Cyanobacteria","value",2804.73
"9","Cyanobacteria","value",2648.25
"10","Cyanobacteria","value",3003.34
"11","Cyanobacteria","value",2652.87
"12","Cyanobacteria","value",2724.22
"13","Cyanobacteria","value",2689.21
"14","Cyanobacteria","value",2656.23
"15","Cyanobacteria","value",2997.18
"16","Cyanobacteria","value",2982.31
"17","Cyanobacteria","value",2808.96
"18","Cyanobacteria","value",2909.42
"19","Cyanobacteria","value",3033.83
"20","Cyanobacteria","value",2933.02
"21","Cyanobacteria","value",3022.96
"22","Cyanobacteria","value",2606.33
"23","Cyanobacteria","value",2958.29
"24","Cyanobacteria","value",2712.78
"25","Cyanobacteria","value",2806.96
"26","Cyanobacteria","value",3101.74
"27","Cyanobacteria","value",2844.32
"28","Cyanobacteria","value",2699.07
"29","Cyanobacteria","value",2854.24
"30","Cyanobacteria","value",2867.28
"31","Cyanobacteria","value",3033.16
"32","Cyanobacteria","value",3082.54
"33","Cyanobacteria","value",2841.19
"34","Cyanobacteria","value",2699.61
"35","Cyanobacteria","value",2915.46
"36","Cyanobacteria","value",2838.02
"37","Cyanobacteria","value",2567
"38","Cyanobacteria","value",2693.51
"39","Cyanobacteria","value",2832.25
"40","Cyanobacteria","value",2775.04
"41","Cyanobacteria","value",3108.2
"42","Cyanobacteria","value",2749.07
"43","Cyanobacteria","value",2723.56
"44","Cyanobacteria","value",3104.54
"45","Cyanobacteria","value",2967.95
"46","Cyanobacteria","value",3067.8
"47","Cyanobacteria","value",2603.08
"48","Cyanobacteria","value",3322.31
"49","Cyanobacteria","value",3048.18
"50","Cyanobacteria","value",2785.8
"51","Cyanobacteria","value",3414.16
"52","Cyanobacteria","value",2661.02
"53","Cyanobacteria","value",2777.23
"54","Cyanobacteria","value",2665.02
"55","Cyanobacteria","value",2773.08
"56","Cyanobacteria","value",2989.4
"57","Cyanobacteria","value",2902.68
"58","Cyanobacteria","value",2744.82
"59","Cyanobacteria","value",3163.32
"60","Cyanobacteria","value",3371.78
"61","Cyanobacteria","value",2800.32
"62","Cyanobacteria","value",2880.17
"63","Cyanobacteria","value",2705.31
"64","Cyanobacteria","value",2816.17
"65","Cyanobacteria","value",2951.42
"66","Cyanobacteria","value",3041.84
"67","Cyanobacteria","value",2745.43
"68","Cyanobacteria","value",2811.6
"69","Cyanobacteria","value",3037.15
"70","Cyanobacteria","value",2707.54
"71","Cyanobacteria","value",2931.17
"72","Cyanobacteria","value",2803.39
"73","Cyanobacteria","value",2786.04
"74","Cyanobacteria","value",2894.9
"75","Cyanobacteria","value",3130.66
"76","Cyanobacteria","value",2843.84
"77","Cyanobacteria","value",2826.45
"78","Cyanobacteria","value",3006.32
