"","variable","variable","value"
"1","Cyanobacteria","value",2680.12
"2","Cyanobacteria","value",2702.67
"3","Cyanobacteria","value",2687.85
"4","Cyanobacteria","value",2662.13
"5","Cyanobacteria","value",2706.97
"6","Cyanobacteria","value",2717.43
"7","Cyanobacteria","value",2753.35
"8","Cyanobacteria","value",2845.45
"9","Cyanobacteria","value",2699.7
"10","Cyanobacteria","value",2831.06
"11","Cyanobacteria","value",2774.48
"12","Cyanobacteria","value",2751.48
"13","Cyanobacteria","value",2737.75
"14","Cyanobacteria","value",2772.38
"15","Cyanobacteria","value",2710.2
"16","Cyanobacteria","value",2864.52
"17","Cyanobacteria","value",2757.58
"18","Cyanobacteria","value",2736.92
"19","Cyanobacteria","value",2784.64
"20","Cyanobacteria","value",2869.58
"21","Cyanobacteria","value",2907.89
"22","Cyanobacteria","value",2867.41
"23","Cyanobacteria","value",2923.5
"24","Cyanobacteria","value",2768.72
"25","Cyanobacteria","value",2807.81
"26","Cyanobacteria","value",2906.37
"27","Cyanobacteria","value",2807.37
"28","Cyanobacteria","value",2797.51
"29","Cyanobacteria","value",2758.38
"30","Cyanobacteria","value",2767.94
"31","Cyanobacteria","value",2756.47
"32","Cyanobacteria","value",2840.02
"33","Cyanobacteria","value",2684.07
"34","Cyanobacteria","value",2738.21
"35","Cyanobacteria","value",2772.04
"36","Cyanobacteria","value",2806.08
"37","Cyanobacteria","value",2819.06
"38","Cyanobacteria","value",2667.19
"39","Cyanobacteria","value",2934.59
"40","Cyanobacteria","value",2977.85
"41","Cyanobacteria","value",2903.91
"42","Cyanobacteria","value",2867.87
"43","Cyanobacteria","value",2948.32
"44","Cyanobacteria","value",2806.18
"45","Cyanobacteria","value",2873.91
"46","Cyanobacteria","value",2737.54
"47","Cyanobacteria","value",2979.24
"48","Cyanobacteria","value",2992.95
"49","Cyanobacteria","value",2875.16
"50","Cyanobacteria","value",2819.05
"51","Cyanobacteria","value",2940.28
"52","Cyanobacteria","value",3025.4
"53","Cyanobacteria","value",2945.16
"54","Cyanobacteria","value",3091.75
"55","Cyanobacteria","value",2937.33
"56","Cyanobacteria","value",2815.47
"57","Cyanobacteria","value",2867.91
"58","Cyanobacteria","value",2900.86
"59","Cyanobacteria","value",2895.29
"60","Cyanobacteria","value",2927.03
"61","Cyanobacteria","value",2877.04
"62","Cyanobacteria","value",2916.93
"63","Cyanobacteria","value",2913.29
"64","Cyanobacteria","value",2979.02
"65","Cyanobacteria","value",2964.87
"66","Cyanobacteria","value",2735.19
"67","Cyanobacteria","value",2822.41
"68","Cyanobacteria","value",2818.48
"69","Cyanobacteria","value",2831.26
"70","Cyanobacteria","value",2930.55
"71","Cyanobacteria","value",2857.96
"72","Cyanobacteria","value",2914.55
"73","Cyanobacteria","value",2995.95
"74","Cyanobacteria","value",2851.6
"75","Cyanobacteria","value",2980.13
"76","Cyanobacteria","value",2886.39
"77","Cyanobacteria","value",2962.55
"78","Cyanobacteria","value",2948.4
"79","Cyanobacteria","value",3034.13
"80","Cyanobacteria","value",3091.91
"81","Cyanobacteria","value",3046.53
"82","Cyanobacteria","value",3029.87
"83","Cyanobacteria","value",2891.17
"84","Cyanobacteria","value",2871.02
"85","Cyanobacteria","value",2805.47
"86","Cyanobacteria","value",2988.22
"87","Cyanobacteria","value",2830.38
"88","Cyanobacteria","value",3049.63
"89","Cyanobacteria","value",3124.66
"90","Cyanobacteria","value",3002.11
"91","Cyanobacteria","value",2847.43
"92","Cyanobacteria","value",2951.93
"93","Cyanobacteria","value",3085.57
"94","Cyanobacteria","value",2892.36
"95","Cyanobacteria","value",3113.92
"96","Cyanobacteria","value",3095.69
"97","Cyanobacteria","value",2933.39
"98","Cyanobacteria","value",2852.51
"99","Cyanobacteria","value",2700.3
"100","Chlorobiales","value",1647.12
"101","Chlorobiales","value",1692.51
"102","Chlorobiales","value",1668.37
"103","Chlorobiales","value",1702.69
"104","Chlorobiales","value",1645.76
"105","Chlorobiales","value",1689.74
"106","Chlorobiales","value",1673.67
"107","Chlorobiales","value",1649.06
"108","Chlorobiales","value",1732.03
"109","Chlorobiales","value",1670.79
"110","Chlorobiales","value",1702.8
"111","Chlorobiales","value",1643.23
"112","Chlorobiales","value",1661.3
"113","Chlorobiales","value",1658.68
"114","Chlorobiales","value",1722.1
"115","Chlorobiales","value",1704.97
"116","Chlorobiales","value",1648.84
"117","Chlorobiales","value",1649.2
"118","Chlorobiales","value",1668
"119","Chlorobiales","value",1684.63
"120","Chlorobiales","value",1654.82
"121","Chlorobiales","value",1659.68
"122","Chlorobiales","value",1649.71
"123","Chlorobiales","value",1667.04
"124","Chlorobiales","value",1678.01
"125","Chlorobiales","value",1647.78
"126","Chlorobiales","value",1669.89
"127","Chlorobiales","value",1644.54
"128","Chlorobiales","value",1652.72
"129","Chlorobiales","value",1653.58
"130","Chlorobiales","value",1685.74
"131","Chlorobiales","value",1668.21
"132","Chlorobiales","value",1658.85
"133","Chlorobiales","value",1641.4
"134","Chlorobiales","value",1642.63
"135","Chlorobiales","value",1647.71
"136","Chlorobiales","value",1674.68
"137","Chlorobiales","value",1655.96
"138","Chlorobiales","value",1674.15
"139","Chlorobiales","value",1710.24
"140","Chlorobiales","value",1657.72
"141","Chlorobiales","value",1646.42
"142","Chlorobiales","value",1704.34
"143","Chlorobiales","value",1685.69
