"","colour","fill","y","x","density","scaled","count","n","PANEL","group","ymin","ymax","size","linetype","alpha"
"1","#F8766D","#F8766D",8.76736520947356e-20,-4000,8.76736520947356e-20,4.10113717825444e-17,8.76736520947356e-18,100,1,1,0,8.76736520947356e-20,0.5,1,0.1
"2","#F8766D","#F8766D",7.11226704064863e-20,-3992.17221135029,7.11226704064863e-20,3.32692685717711e-17,7.11226704064863e-18,100,1,1,0,7.11226704064863e-20,0.5,1,0.1
"3","#F8766D","#F8766D",0,-3984.34442270059,0,0,0,100,1,1,0,0,0.5,1,0.1
"4","#F8766D","#F8766D",3.63707523878503e-21,-3976.51663405088,3.63707523878503e-21,1.70132578323215e-18,3.63707523878503e-19,100,1,1,0,3.63707523878503e-21,0.5,1,0.1
"5","#F8766D","#F8766D",3.42139582463102e-20,-3968.68884540117,3.42139582463102e-20,1.60043676551274e-17,3.42139582463102e-18,100,1,1,0,3.42139582463102e-20,0.5,1,0.1
"6","#F8766D","#F8766D",1.47839771268601e-19,-3960.86105675147,1.47839771268601e-19,6.91554609495612e-17,1.47839771268601e-17,100,1,1,0,1.47839771268601e-19,0.5,1,0.1
"7","#F8766D","#F8766D",1.17885783702832e-19,-3953.03326810176,1.17885783702832e-19,5.5143792779265e-17,1.17885783702832e-17,100,1,1,0,1.17885783702832e-19,0.5,1,0.1
"8","#F8766D","#F8766D",5.07807940355679e-19,-3945.20547945205,5.07807940355679e-19,2.37538869871093e-16,5.07807940355679e-17,100,1,1,0,5.07807940355679e-19,0.5,1,0.1
"9","#F8766D","#F8766D",1.20519120106508e-18,-3937.37769080235,1.20519120106508e-18,5.63755965846199e-16,1.20519120106508e-16,100,1,1,0,1.20519120106508e-18,0.5,1,0.1
"10","#F8766D","#F8766D",3.1853075755942e-18,-3929.54990215264,3.1853075755942e-18,1.49000104482123e-15,3.1853075755942e-16,100,1,1,0,3.1853075755942e-18,0.5,1,0.1
"11","#F8766D","#F8766D",8.01670445035456e-18,-3921.72211350294,8.01670445035456e-18,3.74999830426832e-15,8.01670445035456e-16,100,1,1,0,8.01670445035456e-18,0.5,1,0.1
"12","#F8766D","#F8766D",1.96493851470406e-17,-3913.89432485323,1.96493851470406e-17,9.19145285168378e-15,1.96493851470406e-15,100,1,1,0,1.96493851470406e-17,0.5,1,0.1
"13","#F8766D","#F8766D",4.71081114045179e-17,-3906.06653620352,4.71081114045179e-17,2.2035905025339e-14,4.71081114045179e-15,100,1,1,0,4.71081114045179e-17,0.5,1,0.1
"14","#F8766D","#F8766D",1.09292157756113e-16,-3898.23874755382,1.09292157756113e-16,5.11239261461263e-14,1.09292157756113e-14,100,1,1,0,1.09292157756113e-16,0.5,1,0.1
"15","#F8766D","#F8766D",2.46229807311779e-16,-3890.41095890411,2.46229807311779e-16,1.15179668353453e-13,2.46229807311779e-14,100,1,1,0,2.46229807311779e-16,0.5,1,0.1
"16","#F8766D","#F8766D",6.00736059121728e-16,-3882.5831702544,6.00736059121728e-16,2.81008139562845e-13,6.00736059121728e-14,100,1,1,0,6.00736059121728e-16,0.5,1,0.1
"17","#F8766D","#F8766D",1.43384030116959e-15,-3874.7553816047,1.43384030116959e-15,6.70711853140567e-13,1.43384030116959e-13,100,1,1,0,1.43384030116959e-15,0.5,1,0.1
