"","colour","fill","y","x","density","scaled","count","n","PANEL","group","ymin","ymax","size","linetype","alpha"
"1","#F8766D","#F8766D",6.87215941227255e-20,-4000,6.87215941227255e-20,2.20038665749552e-17,6.80343781814982e-18,99,1,1,0,6.87215941227255e-20,0.5,1,0.1
"2","#F8766D","#F8766D",0,-3992.17221135029,0,0,0,99,1,1,0,0,0.5,1,0.1
"3","#F8766D","#F8766D",6.58705291360037e-21,-3984.34442270059,6.58705291360037e-21,2.10909882524251e-18,6.52118238446437e-19,99,1,1,0,6.58705291360037e-21,0.5,1,0.1
"4","#F8766D","#F8766D",9.43183597134955e-20,-3976.51663405088,9.43183597134955e-20,3.01996574613523e-17,9.33751761163606e-18,99,1,1,0,9.43183597134955e-20,0.5,1,0.1
"5","#F8766D","#F8766D",7.68571367157217e-21,-3968.68884540117,7.68571367157217e-21,2.46087740427807e-18,7.60885653485645e-19,99,1,1,0,7.68571367157217e-21,0.5,1,0.1
"6","#F8766D","#F8766D",6.28929660293963e-20,-3960.86105675147,6.28929660293963e-20,2.01376066821534e-17,6.22640363691023e-18,99,1,1,0,6.28929660293963e-20,0.5,1,0.1
"7","#F8766D","#F8766D",1.72530916302991e-20,-3953.03326810176,1.72530916302991e-20,5.5242421408417e-18,1.70805607139961e-18,99,1,1,0,1.72530916302991e-20,0.5,1,0.1
"8","#F8766D","#F8766D",6.10747675043499e-20,-3945.20547945205,6.10747675043499e-20,1.95554403592876e-17,6.04640198293064e-18,99,1,1,0,6.10747675043499e-20,0.5,1,0.1
"9","#F8766D","#F8766D",1.25786282889809e-19,-3937.37769080235,1.25786282889809e-19,4.02753256963761e-17,1.24528420060911e-17,99,1,1,0,1.25786282889809e-19,0.5,1,0.1
"10","#F8766D","#F8766D",6.81491330685122e-20,-3929.54990215264,6.81491330685122e-20,2.18205711084128e-17,6.74676417378271e-18,99,1,1,0,6.81491330685122e-20,0.5,1,0.1
"11","#F8766D","#F8766D",3.16883404752787e-21,-3921.72211350294,3.16883404752787e-21,1.01462433271641e-18,3.13714570705259e-19,99,1,1,0,3.16883404752787e-21,0.5,1,0.1
"12","#F8766D","#F8766D",1.10480866545125e-19,-3913.89432485323,1.10480866545125e-19,3.53747068527395e-17,1.09376057879674e-17,99,1,1,0,1.10480866545125e-19,0.5,1,0.1
"13","#F8766D","#F8766D",2.38810282321145e-19,-3906.06653620352,2.38810282321145e-19,7.64643145433697e-17,2.36422179497934e-17,99,1,1,0,2.38810282321145e-19,0.5,1,0.1
"14","#F8766D","#F8766D",1.28416363044386e-19,-3898.23874755382,1.28416363044386e-19,4.11174472091482e-17,1.27132199413942e-17,99,1,1,0,1.28416363044386e-19,0.5,1,0.1
"15","#F8766D","#F8766D",0,-3890.41095890411,0,0,0,99,1,1,0,0,0.5,1,0.1
"16","#F8766D","#F8766D",1.24025145749324e-21,-3882.5831702544,1.24025145749324e-21,3.97114297746629e-19,1.22784894291831e-19,99,1,1,0,1.24025145749324e-21,0.5,1,0.1
"17","#F8766D","#F8766D",1.6201744715848e-20,-3874.7553816047,1.6201744715848e-20,5.18761291206886e-18,1.60397272686896e-18,99,1,1,0,1.6201744715848e-20,0.5,1,0.1
"18","#F8766D","#F8766D",1.66598270658517e-19,-3866.92759295499,1.66598270658517e-19,5.33428562882544e-17,1.64932287951932e-17,99,1,1,0,1.66598270658517e-19,0.5,1,0.1
"19","#F8766D","#F8766D",1.11644045558257e-19,-3859.09980430528,1.11644045558257e-19,3.57471434374036e-17,1.10527605102674e-17,99,1,1,0,1.11644045558257e-19,0.5,1,0.1
"20","#F8766D","#F8766D",9.09291083670034e-20,-3851.27201565558,9.09291083670034e-20,2.91144580364958e-17,9.00198172833334e-18,99,1,1,0,9.09291083670034e-20,0.5,1,0.1
