"","x"
"1"," "
"2"," "
"3","1"
"4"," "
"5"," "
"6"," "
"7"," "
"8"," "
"9"," "
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16"," "
"17","1"
"18"," "
"19","1"
"20"," "
"21"," "
"22"," "
"23","1"
"24"," "
"25"," "
"26"," "
"27"," "
"28"," "
"29"," "
"30"," "
"31","1"
"32"," "
"33"," "
"34"," "
"35"," "
"36"," "
"37"," "
"38"," "
"39"," "
"40"," "
"41"," "
"42"," "
"43"," "
"44","1"
"45"," "
"46"," "
"47"," "
"48"," "
"49"," "
"50"," "
"51"," "
"52"," "
"53","1"
"54"," "
"55"," "
"56"," "
"57"," "
"58","1"
"59"," "
"60","1"
"61"," "
"62","1"
"63","1"
"64"," "
"65"," "
"66"," "
"67"," "
"68"," "
"69"," "
"70"," "
"71"," "
"72"," "
"73"," "
"74"," "
"75"," "
"76"," "
"77"," "
"78","1"
"79"," "
"80"," "
"81"," "
"82"," "
"83"," "
"84"," "
"85"," "
"86","1"
"87"," "
"88"," "
"89"," "
"90"," "
"91","1"
"92","1"
"93"," "
"94"," "
"95"," "
"96"," "
"97"," "
"98"," "
"99"," "
"100"," "
