"","x"
"1"," "
"2"," "
"3","1"
"4","1"
"5","1"
"6"," "
"7","1"
"8","1"
"9","1"
"10","1"
"11"," "
"12","1"
"13","1"
"14"," "
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22"," "
"23"," "
"24"," "
"25","1"
"26","1"
"27"," "
"28"," "
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34"," "
"35"," "
"36"," "
"37"," "
"38","1"
"39"," "
"40"," "
"41"," "
"42"," "
"43","1"
"44","1"
"45","1"
"46"," "
"47","1"
"48","1"
"49","1"
"50"," "
"51"," "
"52","1"
"53"," "
"54"," "
"55","1"
"56","1"
"57"," "
"58","1"
"59"," "
"60","1"
"61","1"
"62","1"
"63"," "
"64","1"
"65"," "
"66","1"
"67"," "
"68","1"
"69"," "
"70"," "
"71"," "
"72"," "
"73"," "
"74","1"
"75","1"
"76"," "
"77","1"
"78","1"
"79"," "
"80"," "
"81"," "
"82","1"
"83","1"
"84","1"
"85"," "
"86"," "
"87"," "
"88","1"
"89"," "
"90","1"
"91"," "
"92","1"
"93"," "
"94"," "
"95"," "
"96"," "
"97"," "
"98","1"
"99"," "
"100"," "
