"","x"
"1"," "
"2"," "
"3"," "
"4"," "
"5"," "
"6"," "
"7","1"
"8"," "
"9"," "
"10"," "
"11"," "
"12"," "
"13"," "
"14"," "
"15"," "
"16"," "
"17"," "
"18"," "
"19"," "
"20"," "
"21"," "
"22"," "
"23"," "
"24"," "
"25"," "
"26"," "
"27"," "
"28","1"
"29"," "
"30"," "
"31"," "
"32","1"
"33"," "
"34"," "
"35"," "
"36","1"
"37"," "
"38"," "
"39"," "
"40","1"
"41"," "
"42"," "
"43"," "
"44"," "
"45"," "
"46"," "
"47"," "
"48"," "
"49"," "
"50"," "
"51"," "
"52","1"
"53"," "
"54"," "
"55"," "
"56","1"
"57"," "
"58"," "
"59"," "
"60"," "
"61"," "
"62"," "
"63","1"
"64"," "
"65"," "
"66"," "
"67"," "
"68"," "
"69"," "
"70"," "
"71","1"
"72"," "
"73"," "
"74"," "
"75"," "
"76"," "
"77"," "
"78"," "
"79","1"
"80"," "
"81"," "
"82"," "
"83"," "
"84","1"
"85"," "
"86"," "
"87"," "
"88"," "
"89"," "
"90"," "
"91"," "
"92"," "
"93"," "
"94"," "
"95"," "
"96"," "
"97","1"
"98"," "
"99"," "
"100"," "
