"","x"
"1"," "
"2"," "
"3"," "
"4","1"
"5"," "
"6"," "
"7"," "
"8"," "
"9"," "
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31"," "
"32"," "
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41"," "
"42","1"
"43","1"
"44","1"
"45","1"
"46"," "
"47","1"
"48"," "
"49","1"
"50"," "
"51"," "
"52"," "
"53"," "
"54"," "
"55"," "
"56"," "
"57"," "
"58"," "
"59"," "
"60"," "
"61"," "
"62"," "
"63"," "
"64"," "
"65"," "
"66"," "
"67"," "
"68"," "
"69"," "
"70"," "
"71"," "
"72"," "
"73"," "
"74"," "
"75"," "
"76","1"
"77","1"
"78","1"
"79","1"
"80"," "
"81","1"
"82","1"
"83","1"
"84","1"
"85"," "
"86"," "
"87"," "
"88"," "
"89"," "
"90"," "
"91"," "
"92"," "
"93"," "
"94","1"
"95"," "
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105"," "
"106"," "
"107"," "
"108"," "
"109"," "
"110"," "
"111"," "
"112"," "
"113"," "
"114"," "
"115"," "
"116"," "
"117"," "
"118"," "
"119"," "
"120"," "
"121"," "
"122"," "
"123"," "
"124"," "
"125"," "
"126"," "
"127","1"
"128","1"
"129","1"
"130"," "
"131","1"
"132","1"
"133"," "
"134"," "
"135","1"
"136","1"
"137","1"
"138"," "
"139"," "
"140"," "
"141"," "
"142"," "
"143"," "
"144"," "
"145"," "
"146"," "
"147","1"
"148"," "
"149"," "
"150"," "
"151","1"
"152","1"
"153","1"
"154"," "
"155"," "
"156"," "
"157"," "
"158"," "
"159"," "
"160"," "
"161"," "
"162"," "
"163"," "
"164"," "
"165"," "
"166"," "
"167"," "
"168"," "
"169"," "
"170"," "
"171"," "
"172"," "
"173"," "
"174"," "
"175"," "
"176"," "
"177"," "
"178"," "
"179"," "
"180"," "
"181"," "
"182"," "
"183"," "
"184"," "
"185"," "
"186"," "
"187"," "
"188"," "
"189"," "
"190"," "
"191"," "
"192"," "
"193"," "
"194"," "
"195"," "
"196"," "
"197"," "
"198"," "
"199"," "
"200"," "
"201"," "
"202"," "
"203"," "
"204"," "
"205"," "
"206"," "
"207"," "
"208"," "
"209"," "
"210"," "
"211"," "
"212"," "
"213"," "
"214"," "
"215"," "
"216"," "
"217","1"
"218","1"
"219","1"
"220","1"
"221","1"
"222","1"
"223","1"
"224"," "
"225"," "
"226"," "
"227"," "
"228"," "
"229"," "
"230"," "
"231"," "
"232"," "
"233"," "
"234"," "
"235"," "
"236","1"
"237"," "
"238"," "
"239"," "
"240"," "
"241"," "
"242"," "
"243"," "
"244"," "
"245"," "
"246"," "
"247"," "
"248"," "
"249"," "
"250"," "
"251"," "
"252"," "
"253","1"
"254","1"
"255"," "
"256"," "
"257","1"
"258"," "
"259","1"
"260"," "
"261"," "
"262"," "
"263"," "
"264"," "
"265"," "
"266"," "
"267"," "
"268"," "
"269"," "
"270","1"
"271"," "
"272"," "
"273"," "
"274"," "
"275"," "
"276"," "
"277"," "
"278"," "
"279"," "
"280"," "
"281"," "
"282"," "
"283"," "
"284"," "
"285"," "
"286"," "
"287"," "
"288"," "
"289"," "
"290"," "
"291"," "
"292"," "
"293"," "
"294"," "
"295"," "
"296"," "
"297"," "
"298"," "
"299"," "
"300"," "
